system,primitive,description,why_it_matters,example_logic,source_url
balanced-scorecard,kpi_registry,"Centralized measure definitions with owners, targets, and data sources",Standardizes measurement and ensures accountability,"define_kpi(name, formula, target); assign_owner(responsible_party); map_data_source()",https://www.hbs.edu/ris/Publication%20Files/10-074_0bf3c151-f82b-4592-b885-cdde7f5d97a6.pdf
balanced-scorecard,scorecard_dashboards,Automated performance reporting with red/amber/green status indicators,Provides at-a-glance performance visibility for decision-making,"calculate_performance(actual, target); assign_status(red_amber_green); generate_dashboard()",https://www.hbs.edu/ris/Publication%20Files/10-074_0bf3c151-f82b-4592-b885-cdde7f5d97a6.pdf
balanced-scorecard,initiative_alignment,Link strategic projects to objectives with benefit realization tracking,Ensures investments support strategy and deliver expected returns,"map_initiative(project, objective); track_benefits(planned, actual); calculate_roi()",https://www.hbs.edu/ris/Publication%20Files/10-074_0bf3c151-f82b-4592-b885-cdde7f5d97a6.pdf
balanced-scorecard,review_cadence,Scheduled strategy review meetings with agenda templates and action tracking,Maintains strategic focus and enables adaptive management,"schedule_review(monthly, quarterly); prepare_agenda(standard_items); track_actions()",https://www.hbs.edu/ris/Publication%20Files/10-074_0bf3c151-f82b-4592-b885-cdde7f5d97a6.pdf
okr,okr_editor,Interface for creating quarterly objectives with 3-5 measurable key results,Enables clear goal setting with measurable outcomes,"create_objective(description, quarter); add_key_results(measurable_outcomes, max=5)",https://en.wikipedia.org/wiki/Objectives_and_key_results
okr,alignment_graph,Visualization of parent-child and cross-team OKR dependencies,Shows how individual and team goals support organizational objectives,"map_hierarchy(parent_okr, child_okr); show_dependencies(cross_team_links)",https://en.wikipedia.org/wiki/Objectives_and_key_results
okr,progress_engine,Regular check-in workflows with confidence scoring and automated rollups,Maintains momentum and provides early warning of at-risk objectives,conduct_checkin(weekly); score_confidence(0_to_10); rollup_progress(team_to_org),https://en.wikipedia.org/wiki/Objectives_and_key_results
okr,scoring_and_retros,0-1 or percentage grading system with learning capture,Enables learning from both success and failure,calculate_score(achieved/target); conduct_retrospective(what_learned); document_insights(),https://en.wikipedia.org/wiki/Objectives_and_key_results
okr,transparency_controls,Default public visibility with permissions for sensitive objectives,Promotes alignment and accountability while protecting confidential information,set_visibility(default_public); apply_permissions(sensitive_okrs); enable_comments(),https://en.wikipedia.org/wiki/Objectives_and_key_results
itil,incident_problem_modules,Purpose-driven workflows with SLA timers and knowledge base integration,Ensures rapid restoration of service with learning capture,"log_incident(description, priority); start_sla_timer(); link_knowledge(solutions)",https://itsm.tools/the-itil-4-service-value-system-explained/
itil,service_catalog_slm,Centralized service definitions with SLA/XLA monitoring and attainment tracking,Clarifies service expectations and measures provider performance,"define_service(catalog_entry, sla_terms); monitor_performance(actual_vs_sla)",https://itsm.tools/the-itil-4-service-value-system-explained/
itil,change_enablement,Risk assessment workflows with Change Advisory Board and scheduling,Balances change velocity with stability and risk management,"assess_risk(change_impact, probability); schedule_cab(review_changes); approve_change()",https://itsm.tools/the-itil-4-service-value-system-explained/
itil,cmdb_config_management,Configuration item records with relationship mapping and impact analysis,Provides understanding of service dependencies for change and incident management,"maintain_ci_records(assets, relationships); perform_impact_analysis(change_scope)",https://itsm.tools/the-itil-4-service-value-system-explained/
itil,continual_improvement_register,Opportunity intake with prioritization based on guiding principles,Ensures systematic improvement aligned with organizational values,"log_opportunity(improvement_idea); prioritize(value, effort); assign_owner()",https://itsm.tools/the-itil-4-service-value-system-explained/
franchising,fdd_disclosure_tracker,Track FDD delivery and acknowledgments with required '23 items' content,Ensures FTC compliance and reduces legal risk,if days_since_fdd_delivery < 14: block_signature();,https://www.ftc.gov/legal-library/browse/rules/franchise-rule
franchising,fdd_14_day_enforcement,Enforce 14-calendar-day waiting period before contract/signing,Prevents premature execution; clear audit trail,require(wait_days>=14) before allow('sign_or_pay'),https://www.ecfr.gov/current/title-16/chapter-I/subchapter-D/part-436
franchising,ops_manual_delivery,"Role-based, versioned operations manual access & acknowledgments",Standardizes brand execution across units,publish(manual_version); capture_ack(franchisee_user),https://www.franchise.org/franchising-overview/common-franchising-terms-and-definitions/
franchising,compliance_audits,Field audit checklists with evidence capture vs. standards,Governs consistency without overreach,run_audit(checklist); attach_evidence(); score_gap(),https://www.franchise.org/2019/04/franchise-defaults-the-big-picture/
franchising,manual_change_control,Controlled updates to manual; distinguish required vs guidance,Avoids joint-employer risk; keeps standards current,propose_change(); label(required|guidance); notify_all(),https://www.franchise.org/2016/04/joint-employer-rule-challenges-present-opportunity-to-reinforce-roles-responsibilities/
